"#dig start(11; 12) 28 bedrooms, 3 tiles each (efficient layout)"
# see an image of this blueprint at https://i.imgur.com/XD7D4ux.png
 , , , , , ,d, , , , , ,d, , , , , , , , ,#
 , , , , , ,d, , , , , ,d, , , , , , , , ,#
 , , , ,d, ,d, ,d, ,d, ,d, ,d, , , , , , ,#
 , , , ,d, ,d, ,d, ,d, ,d, ,d, , , , , , ,#
 , , , ,d,d,d,d,d, ,d,d,d, ,d, ,d,d,d, , ,#
 , , , , , ,d, , , , , ,d,d, , ,d, , , , ,#
 , ,d,d,d, ,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,#
 , , , , ,d,d, , , ,d, ,d, , , ,d, , , , ,#
d,d,d,d,d,d,d,d,d,d,d,d,d, ,d, ,d,d,d, , ,#
 , , , ,d, , , ,d,i,i,i,d, ,d, , , , , , ,#
 , ,d,d,d, ,d,d,d,i,i,i,d,d,d, ,d,d,d, , ,#
 , , , , , ,d, ,d,i,i,i,d, , , ,d, , , , ,#
 , ,d,d,d, ,d, ,d,d,d,d,d,d,d,d,d,d,d,d,d,#
 , , , ,d, , , ,d, ,d, , , ,d,d, , , , , ,#
d,d,d,d,d,d,d,d,d, ,d,d,d, ,d, ,d,d,d, , ,#
 , , , ,d, , ,d,d, , , , , ,d, , , , , , ,#
 , ,d,d,d, ,d, ,d,d,d, ,d,d,d,d,d, , , , ,#
 , , , , , ,d, ,d, ,d, ,d, ,d, ,d, , , , ,#
 , , , , , ,d, ,d, ,d, ,d, ,d, ,d, , , , ,#
 , , , , , , , ,d, , , , , ,d, , , , , , ,#
 , , , , , , , ,d, , , , , ,d, , , , , , ,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
"#build label(furniture) start(11; 11) 28x doors, beds, coffers, and cabinets"
 , , , , , ,f, , , , , ,f, , , , , , , , ,#
 , , , , , ,h, , , , , ,h, , , , , , , , ,#
 , , , ,f, ,b, ,f, ,f, ,b, ,f, , , , , , ,#
 , , , ,h, ,d, ,h, ,h, ,d, ,h, , , , , , ,#
 , , , ,b,d,`,d,b, ,b,d,`, ,b, ,b,h,f, , ,#
 , , , , , ,`, , , , , ,`,d, , ,d, , , , ,#
 , ,f,h,b, ,`, ,f,h,b, ,`,`,`,`,`,d,b,h,f,#
 , , , , ,d,`, , , ,d, ,`, , , ,d, , , , ,#
f,h,b,d,`,`,`,`,`,`,`,`,`, ,f, ,b,h,f, , ,#
 , , , ,d, , , ,`,`,`,`,`, ,h, , , , , , ,#
 , ,f,h,b, ,b,d,`,`,`,`,`,d,b, ,b,h,f, , ,#
 , , , , , ,h, ,`,`,`,`,`, , , ,d, , , , ,#
 , ,f,h,b, ,f, ,`,`,`,`,`,`,`,`,`,d,b,h,f,#
 , , , ,d, , , ,`, ,d, , , ,`,d, , , , , ,#
f,h,b,d,`,`,`,`,`, ,b,h,f, ,`, ,b,h,f, , ,#
 , , , ,d, , ,d,`, , , , , ,`, , , , , , ,#
 , ,f,h,b, ,b, ,`,d,b, ,b,d,`,d,b, , , , ,#
 , , , , , ,h, ,d, ,h, ,h, ,d, ,h, , , , ,#
 , , , , , ,f, ,b, ,f, ,f, ,b, ,f, , , , ,#
 , , , , , , , ,h, , , , , ,h, , , , , , ,#
 , , , , , , , ,f, , , , , ,f, , , , , , ,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#query label(rooms) start(11; 11) room designations
 , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , ,r+,, , , , ,r+,, , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , ,#
 , , , ,r+,, , ,r+,,r+,, , ,r+,,r+,, , , ,#
 , , , , , , , , , , , , , , , , , , , , ,#
 , , , ,r+,, , , , ,r+,, , , , , , ,r+,, ,#
 , , , , , , , , , , , , , , , , , , , , ,#
 , ,r+,, , , , , , , , , , , , ,r+,, , , ,#
 , , , , , , , , , , , , , , , , , , , , ,#
 , , , ,r+,,r+,, , , , , , ,r+,,r+,, , , ,#
 , , , , , , , , , , , , , , , , , , , , ,#
 , , , ,r+,, , , , , , , , , , , , ,r+,, ,#
 , , , , , , , , , , , , , , , , , , , , ,#
 , ,r+,, , , , , , ,r+,, , , , ,r+,, , , ,#
 , , , , , , , , , , , , , , , , , , , , ,#
 , , , ,r+,,r+,, , ,r+,,r+,, , ,r+,, , , ,#
 , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , ,r+,, , , , ,r+,, , , , , ,#
 , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , ,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
